,day_svi_id,year,month,day_svi_lat,day_svi_lon,day_svi_heading,night_svi_lat,night_svi_lon,lux,distance_err,total_area,total_luminosity,avg_luminosity,avg_distance,mid_distance,weighted_lum_std,weighted_dist_std,max_contour_size
0,eKql4ti0fxvT41Zzd26LTg,2018,2,1.322684039,103.8009855,2.219790841,1.3226658,103.8010247,8,4.32E-05,14857,1381625.42,92.99491284,179.7152696,176.1391495,489.1987734,24.86276599,2859
1,eMGVMBSna6yvKKOGsnV_Qw,2019,7,1.278909105,103.8438855,6.244039502,1.2789201,103.8438869,35,1.11E-05,58467,6801355.031,116.3281001,194.488517,191.6715941,295.0455765,29.3304669,21764
2,eLPgjhILzF1wotouw-xfPA,2016,9,1.298061118,103.7671956,3.142920239,1.2980409,103.7672028,27,2.15E-05,21882,2635313.409,120.4329316,197.3449766,188.6146865,518.7553874,43.14747563,9321.5
3,eLk9Xu3J40y-39xpvXiWvg,2021,7,1.309294104,103.7665021,3.664047601,1.3092948,103.7664982,10,3.97E-06,30418,3308106.108,108.7548855,172.7643126,164.0152432,393.7808968,24.00403636,11848.5
4,eMDu-VdtB0ydbA0iHPDORQ,2018,3,1.322003868,103.6559298,2.319903328,1.3220291,103.6559647,6,4.31E-05,28813,3320834.954,115.2547445,187.9748314,179.1368192,429.7365936,30.72337015,13473.5
5,eMqmdeFXMNZ05r4u22J2Cg,2011,9,1.335195142,103.6432462,3.87450151,1.3352257,103.6432597,5,3.34E-05,19067,2077943.551,108.9811481,175.3980439,164.769536,503.9671914,27.69655878,14519
6,eO6BLwkshJNOAkISLyxCjA,2011,9,1.326224653,103.6468128,2.357407294,1.3262475,103.64683,3,2.86E-05,27332,3154246.786,115.4049022,176.7429776,164.2832919,442.3095497,29.14817826,19785.5
7,eO_qgjsMzshQ5kVvo5QaCQ,2018,3,1.333052985,103.649086,2.337359283,1.3330535,103.6490957,1,9.71E-06,16999,1705417.025,100.32455,175.8244204,173.1848723,493.6114231,19.3403486,11898
8,eSCbN79P3Smupf9pYP-w2g,2015,4,1.322660903,103.8009816,1.338226464,1.3226663,103.8009915,6,1.13E-05,21013,2248102.403,106.9862658,190.5433395,191.9426998,470.5068133,30.63374467,7175.5
9,eRYLPZ1lp6ejoSAtu7GjUw,2019,6,1.29741409,103.7781844,5.037964685,1.297407,103.7782372,13,5.32E-05,21298,2527051.01,118.6520335,174.2633218,163.8719011,518.7398749,28.26601559,10118.5
10,eUm6DLv1C3D9RTHFZ-Lzmg,2022,3,1.281080707,103.8421385,5.801896704,1.2810792,103.8421463,21,7.91E-06,68125,8192285.974,120.2537391,190.9400123,190.9371624,279.2515437,25.66339451,144705
11,eYe8YCvZWa1LTlGEV5Z6ug,2015,9,1.334325255,103.6430262,2.365564024,1.3343423,103.6430718,0,4.87E-05,18866,1823260.642,96.64267158,174.4648052,168.3032975,450.1701941,21.4784143,5986.5
12,e_8OcUE-GryNCwYNxkjWfA,2011,9,1.333791264,103.6435562,2.327593205,1.3338228,103.6436078,4,6.04E-05,21523,2190731.083,101.7855821,175.1390247,172.6528308,442.617456,18.33770181,7687
13,eWTWjvzeVwGx4-wtLPx5xQ,2015,4,1.322646325,103.8011952,1.671030786,1.3226491,103.8012014,6,6.79E-06,13485,1397038.67,103.5994564,184.9740523,169.3871306,573.2914249,33.08030874,5322
14,eYFguL1Hkiehtk2322vGQQ,2022,3,1.279863405,103.8468484,5.030599979,1.2798536,103.8468471,6,9.89E-06,48900,6042046.185,123.5592267,183.0566358,180.9419797,347.960743,23.19051089,30836
15,eYqh7OJ6D2spo9DWKrJTbw,2016,9,1.303635946,103.8598761,4.089962161,1.3036337,103.859876,37,2.25E-06,79811,12408338.66,155.4715348,201.6945033,196.8882932,327.7465673,35.47023705,59281
16,e_PTlenv0U8U3kXi-R1KZw,2013,1,1.320373173,103.7951229,0.746610154,1.3204069,103.7951315,2,3.48E-05,7580,821041.504,108.3168211,187.5357683,179.1368192,803.2298508,29.97270921,3264
17,e__7iPvEu7XS5YLtQEngOg,2021,9,1.288027245,103.8487744,5.131126321,1.2880278,103.8487796,25,5.23E-06,54726,7621202.164,139.2610855,188.0141269,182.463695,366.9024424,29.97167225,40545
18,ebZQzli5nzurz7Im-ezO1A,2016,9,1.297140793,103.7796074,4.376043985,1.2971232,103.7796274,14,2.66E-05,37026,4015175.995,108.4420676,186.7597832,186.0026882,354.3654869,25.00597535,16276
19,ebPsfDyoLoAUq6_fUbMKsw,2019,10,1.335490522,103.6434672,3.900247087,1.3355057,103.6435228,6,5.76E-05,19453,2067414.641,106.2774195,176.0967352,164.7543626,486.2637969,28.80513456,16007
20,ehaFn5uuUHYf-xWz2Wg4gg,2018,2,1.321530995,103.7963131,0.857788741,1.3215485,103.7963014,40,2.10E-05,14859,1627540.787,109.532323,180.6657841,164.2102311,576.0693084,33.54378615,5121.5
21,ebj1Ymnsj2416FgbIAzBag,2019,6,1.296867526,103.7827505,5.103696827,1.2968749,103.7827653,19,1.65E-05,37524,4309930.27,114.8579648,189.4022862,173.1646614,371.3807273,40.14992762,21227.5
22,ec1nYkRYm72frG1Ozw-l0A,2018,3,1.281236436,103.7843638,5.292332255,1.2812654,103.7844017,15,4.77E-05,22204,2589953.044,116.6435347,191.6612402,180.4882268,498.107019,37.9154317,7374
23,ecrLZ5vM3iaLVAMf20W8RQ,2020,8,1.301996594,103.7657734,2.740117391,1.3019871,103.7658071,2,3.51E-05,19719,2192804.2,111.2026066,184.7076218,172.0261608,505.6391694,31.96904208,8266.5
24,ek0D2Znz34DpGwDd0fgm5A,2021,4,1.286106623,103.8483492,5.163195041,1.2861034,103.8483399,8,9.89E-06,58240,6861325.689,117.8112241,201.7102167,200.4120755,299.4980422,38.79131997,25249.5
25,elwf-gKuvRPC8qb7Rp2jXQ,2011,9,1.329024023,103.6485808,2.325623531,1.3290449,103.6485862,2,2.16E-05,14440,1385575.728,95.95399778,176.0773908,172.1917536,512.8493791,21.65662606,6088
26,ekatFS59RIngXYfAIxuH_A,2019,10,1.34646082,103.7019732,2.440360234,1.3465097,103.7020331,6,7.73E-05,51888,5777233.243,111.3404495,185.7148268,183.4393633,301.0603181,28.31510052,50828.5
27,en275ta4l1UCY8FPXWsYIg,2021,6,1.300878608,103.7736471,5.218694253,1.3008807,103.7736568,5,9.96E-06,13126,1412848.797,107.6374217,170.7056495,165.3420697,603.9542479,19.87726515,7220
28,eqc_1pw4d7RRP9BjZwVSiQ,2022,2,1.298608208,103.8561133,0.590328538,1.2986104,103.8561031,52,1.04E-05,85331,10227940.76,119.8619583,207.6569284,206.0218435,244.0377111,35.40864929,39789.5
29,etFgm-7W1RkrjMTOSAsvKQ,2020,8,1.330869836,103.7952623,0.310011259,1.3308426,103.7952704,9,2.84E-05,40227,5166678.039,128.438065,182.9102422,172.002907,399.9388981,31.85075191,16821.5
30,etPOJHfTjTiu4vGGTZ7n1g,2016,9,1.293226193,103.7685125,0.703653499,1.2932244,103.7685015,4,1.11E-05,26144,3056056.814,116.893238,174.6674855,164.1538911,459.0759166,28.2582046,16377.5
31,euYTAxMVsaCM5-Bzelq8XA,2018,3,1.322942342,103.6521428,0.748445472,1.3229392,103.6521094,2,3.36E-05,7712,799488.749,103.6681469,203.7992122,213.7825997,762.1676329,33.71214442,4848
32,ewDtq4IPS2GyHAvDUVtOdQ,2022,5,1.301763757,103.7704682,0.43673698,1.3017578,103.7704497,43,1.94E-05,32297,3732585.66,115.5706617,203.6643513,198.6680649,406.0394567,43.68712788,16027.5
33,exfMz1gkzDArHhxZic5NYA,2019,7,1.346106281,103.6968026,0.107588804,1.3460836,103.6967901,6,2.59E-05,32609,3400003.133,104.2657896,201.4281847,192.8522751,365.2146812,39.5577473,9043
34,ex2_kSnpnYHt86rSWHhZrQ,2016,8,1.279754538,103.7855676,0.761196887,1.2797638,103.7855614,26,1.11E-05,35192,4590023.571,130.4280396,187.9896823,181.5185928,436.0239596,31.96766523,9664.5
35,eyCREKZLuGptWyGBA0CmLQ,2020,9,1.28970165,103.7826876,4.854010028,1.2897095,103.7827038,18,1.80E-05,19740,2409112.078,122.0421519,239.5638616,250.9123353,555.5056892,34.71598325,12351.5
36,ezyWgPgTaC2oMb-EXvxZIg,2020,9,1.294967478,103.7844114,5.641928075,1.2949543,103.784396,9,2.03E-05,29276,2974919.933,101.6163387,183.3955159,169.8528775,376.6394147,37.14600571,8009.5
37,f0j2jJszOHRO4vgSKVNsGQ,2018,1,1.289319594,103.7830897,2.770149858,1.2893053,103.7831085,23,2.36E-05,17165,2088914.095,121.6961314,243.290561,253.3377193,595.0898371,32.76016408,14182.5
38,f3X6hE7_y24Cavpksjajew,2018,5,1.280269975,103.8443445,2.324260792,1.2802851,103.8443684,50,2.83E-05,54156,6569801.079,121.3125245,197.2787677,185.0243227,321.3565579,40.02465431,43496
39,f-nKLn7HioQhjkp5izupCw,2018,3,1.286112691,103.7801308,5.483412465,1.2861436,103.780179,4,5.73E-05,18844,1955547.233,103.7755908,174.9666676,175.1627814,483.4831192,18.43274289,6626.5
40,f9j4zIoVH77iAW-ok9O0_w,2020,8,1.284675197,103.8498023,3.434014399,1.2846397,103.8498903,46,9.49E-05,58786,6145403.676,104.5385581,213.4984068,217.0829335,267.1351687,40.75364073,18059.5
41,f4uXUgrOrrrM1mzME6lQKA,2022,3,1.280172241,103.8473531,3.569944804,1.2801691,103.8473568,23,4.87E-06,51659,6359754.962,123.1102995,187.0216624,179.9777764,336.1660729,29.11701829,35828.5
42,fBF_Lerf9Suq1iNtzjDz0Q,2011,9,1.324426764,103.6486954,2.331831626,1.324474,103.6486867,4,4.80E-05,22333,2485483.159,111.2919518,195.8581276,187.2965563,474.5479274,38.91843289,14474.5
43,fDvi3XICvf_1A2N26TVXPA,2018,2,1.299325323,103.7744653,5.525713051,1.2993535,103.774491,23,3.81E-05,19899,2628307.363,132.0823842,194.0354377,186.3437683,596.7238562,38.91521993,8548.5
44,fCEmkoVvp6ZGVlvPrsDgGA,2022,8,1.319844247,103.8079498,0.370744082,1.3198377,103.807958,33,1.05E-05,32971,3678018.373,111.5531338,226.6285903,235.5122078,386.5709478,36.42348358,18375
45,fBLpqGWEMC4XFE43Jxdckw,2019,10,1.332268092,103.6451623,2.318638593,1.3322854,103.6452009,7,4.23E-05,35357,4143085.103,117.178638,196.9044948,180.4134141,391.5909382,41.04376119,19560
46,fFibvsDmj9nGmd9QUNvQcg,2018,4,1.33917653,103.6982413,5.875975193,1.3391778,103.6982401,5,1.78E-06,27861,3176370.442,114.0077686,196.3381154,179.3599732,432.5503975,43.32181276,10007.5
47,fFtC7TNnLO7HNkGChOOM4g,2021,10,1.322371813,103.7957023,5.405375454,1.3223861,103.795703,4,1.43E-05,20564,2701939.953,131.3917503,190.2706988,191.2066944,584.4422066,33.19255508,10158.5
48,fJWdfiPCN6S_An7YPMFVWg,2018,2,1.322452889,103.7985373,1.178924689,1.3224451,103.7985451,0,1.10E-05,13928,1303944.784,93.62038943,173.4801472,162.2898641,509.5911342,24.98960206,4424.5
49,fIQxzZUEhVfHH_sest9PVg,2019,6,1.289010492,103.7843931,6.129292413,1.2889923,103.7844044,10,2.14E-05,13377,1579261.786,118.057994,238.5884803,243.9713098,655.2912918,26.1783488,12266.5
50,fGFrTStiZWTJ_3Y0JBYFrg,2019,6,1.298737982,103.7764202,5.282684688,1.2987483,103.7764189,13,1.04E-05,19877,2314229.62,116.4275102,185.0210974,181.3422179,526.9192223,31.17054255,7227.5
51,fKytAP80-wvCnQcvwmjRVQ,2020,9,1.281012154,103.8421934,5.751203433,1.2810213,103.8421731,30,2.22E-05,61469,7181047.643,116.8238892,194.4611116,194.4865034,288.6500131,26.97642544,30872
52,fKX8dKTDPOVZoMkNDGS7eA,2019,6,1.306345014,103.7711353,0.064899047,1.3063407,103.7711377,15,4.92E-06,21604,2365208.619,109.4801249,199.5255588,204.6240454,475.5286533,33.00378355,6055.5
53,fMcG8sO38Ylo1D9NI5tDig,2018,3,1.324097457,103.6532221,0.665394394,1.3241093,103.6532006,3,2.45E-05,34255,4355809.007,127.1583421,184.010104,179.3014222,432.6720832,25.65224383,18357
54,fLsxoWBINU5LQdJGzrWrdQ,2020,9,1.289710308,103.8577441,4.751873539,1.289672,103.8577654,12,4.38E-05,34099,4085082.375,119.8006503,193.685,182.1647606,408.7090938,36.45717244,11907
55,fPej5d2FaLXPFbZ7Ks7r0g,2021,2,1.285029033,103.7869382,2.51588988,1.2850234,103.786931,29,9.16E-06,20841,2409077.261,115.5931702,228.6699175,247.1639132,511.6521389,42.18932641,10886.5
56,fRrNNntHTZ8W2DgCRKEATA,2018,2,1.283354876,103.7878201,2.851120342,1.2833345,103.787822,0,2.05E-05,11548,1074763.761,93.06925537,171.1631673,169.292646,558.1493011,15.17012363,3446.5
57,fRDo55vQkBOGwhH9GkI84A,2013,3,1.298849692,103.8559189,3.759293694,1.2988415,103.8559173,84,8.35E-06,79701,13163519.38,165.1612826,202.2417887,197.2054766,348.7269197,37.16034656,70550
58,fRRvYhiNBYNPsl0N7NcAjA,2019,10,1.332204103,103.6452314,2.314520014,1.3322314,103.6452547,1,3.59E-05,26707,2790284.644,104.4776517,179.5106506,170.8478856,405.5780234,26.98492985,15684
59,fSWAyDvvqzJ9orP3ZLlHww,2018,2,1.297422776,103.7808536,4.603754378,1.2974204,103.7808671,24,1.37E-05,18300,2167209.757,118.4267627,180.6363013,166.5442884,559.732634,36.73558856,6994
60,fT1azl5V9kPMKXdN4JPgEw,2018,2,1.301304234,103.8580242,3.459013226,1.3012881,103.8580289,29,1.68E-05,47707,5488992.494,115.0563333,190.0275853,174.1522323,328.1159621,40.10989151,104225.5
61,fU2s5X7NnrppsnTmih0Teg,2018,3,1.323216243,103.6546603,2.312676307,1.3232351,103.6546968,8,4.11E-05,39101,5312468.297,135.8652796,202.7670457,198.2246201,430.3279631,37.82904202,18764
62,fTNY1qq2659r_X6un9wPzQ,2018,2,1.328654593,103.7942969,0.514076909,1.328652,103.7942949,1,3.29E-06,17319,2157743.252,124.5882125,189.1995404,185.3213425,605.4500531,30.2750092,12779
63,fT9hvStricSb4s4iT4318A,2018,2,1.30809316,103.7679343,5.669410832,1.3081062,103.7679656,9,3.39E-05,17671,1755267.624,99.33040711,189.9585651,186.681547,478.35963,30.81124397,5888
64,fUcbLkAdp94F0iBgntu68w,2016,9,1.334972795,103.6470394,2.283708572,1.3349646,103.6470387,11,8.22E-06,23885,2553161.961,106.8939485,196.5705297,184.4586675,440.044918,35.68454479,8424
65,fUklIWL5cb1-YVfMMNwhnA,2021,7,1.308600246,103.7677571,6.207766716,1.3085931,103.7677782,9,2.23E-05,32369,3812721.625,117.789293,172.8220839,168.0743883,413.1412073,22.61428696,11925
66,f_FA2Bo0BczUe56jqkuakQ,2018,1,1.291400651,103.7833388,0.674133157,1.2913905,103.783325,10,1.71E-05,20572,2455254.76,119.3493467,187.0475094,184.2661118,530.3295878,32.62985608,6481.5
67,fXdPbNkeaVXUBs8aWAub5A,2018,2,1.320955694,103.7957049,0.833813766,1.3209703,103.7957226,1,2.30E-05,12965,1670280.922,128.8299978,216.9927581,227.6686188,726.9190112,34.51961809,9599.5
68,fb3L9IvqpVj4GBNWGuaXGw,2020,9,1.288991966,103.783699,4.581824312,1.2890043,103.7836987,29,1.23E-05,11198,1289673.196,115.1699586,189.2480415,194.243404,700.6446165,31.1526424,5901.5
69,f_Bjs_FCFNTRJqfDlqIIxw,2011,9,1.326741966,103.647027,3.89103468,1.3267573,103.6470289,2,1.54E-05,19917,2674451.256,134.2798241,218.7528981,240.0104164,608.0614492,48.05350697,12341
70,fcr-vc3muy85SQNMHK9V7g,2021,10,1.280343823,103.8467897,0.335764925,1.2803211,103.8467628,13,3.52E-05,75441,9463363.079,125.4405838,189.0719053,186.3437683,275.8738356,27.48442115,139778.5
71,fe7Q-4HyOJ7WtDz5aMFRZQ,2019,9,1.285988623,103.7802626,5.484375997,1.286047,103.7802779,24,6.04E-05,22243,2448441.329,110.0769379,191.8537469,182.0027472,470.8198523,33.40823019,7942.5
72,fknVXPO3uLyxZX5ShmnfRg,2016,8,1.282577802,103.7823644,2.185891064,1.2826081,103.7823865,23,3.75E-05,25627,3166189.804,123.5489837,192.8362344,200.8033864,488.8575362,34.97742408,7047
73,fk5YRnnncilVjPlpDkvW5Q,2017,12,1.331031898,103.7953148,0.354954765,1.3310206,103.7953229,26,1.39E-05,48032,5887223.092,122.5687686,196.9207289,190.2695455,346.8942452,38.01066754,17237
74,fl5P48fWyAP1PUozCTIvyA,2021,9,1.285017946,103.8498849,3.438701563,1.2850321,103.8498328,16,5.40E-05,66926,6783361.29,101.356144,202.8010662,200.0025,240.1796624,38.31193655,46836.5
75,fl7N4yIsCEqDwZ9T8mvq_g,2020,8,1.299581148,103.7667803,2.728167521,1.2995755,103.766814,8,3.41E-05,13030,1360203.383,104.3901292,187.3501092,183.0969688,587.5364553,31.07046259,4295.5
76,fllchsBPe--AKq8LxoQo1Q,2020,9,1.295233251,103.7842243,5.668172995,1.2952241,103.7842342,13,1.35E-05,45217,5253692.592,116.1884378,191.6075276,184.7647152,340.2876977,35.00369149,25628
77,flqYzsfkxozE7bTO0vBBNQ,2015,9,1.335460467,103.6464786,5.479619059,1.3354932,103.6464752,5,3.29E-05,18141,1992634.864,109.8415117,189.5413648,184.0434731,521.5653904,33.73682379,5066.5
78,fnLRl1YfpPhtbOk1Z6OCgQ,2015,4,1.329495951,103.7947387,0.403463712,1.3295139,103.7947518,1,2.22E-05,15467,1951533.584,126.1740211,187.1639112,187.4166481,649.8570233,30.06985934,10114
79,fsX2dGwp-R9gL9XlP2E7jw,2019,6,1.297476857,103.7780094,5.057627868,1.2974871,103.7780231,3,1.71E-05,29128,2781034.087,95.47631444,204.9185398,217.1013586,353.9858076,38.58957623,16473.5
80,foyRFIZfAUaHDBvq1npfEg,2021,10,1.301660746,103.8605414,1.019096009,1.3016841,103.8605354,14,2.41E-05,47558,5890575.724,123.8608799,179.8809384,175.9659058,350.5638469,24.001356,22028.5
81,fuVapUaSdORgHqE0WnBZTg,2016,7,1.282259008,103.847845,1.593879009,1.282264,103.8478501,12,7.13E-06,52786,6972734.747,132.0943952,187.0200667,183.1829686,355.8552755,27.49319926,20098.5
82,fwbIKbelUar-FuyQ-1D_rw,2011,3,1.286281114,103.8536283,0.277778687,1.2862785,103.8536189,12,9.72E-06,57176,7174369.424,125.4786873,193.5693493,190.0368385,322.6455963,29.20311618,45248
83,fzbJNgEzIuj-BsKei7EdQA,2019,6,1.290051479,103.7748482,1.915700722,1.2900721,103.7748585,12,2.31E-05,27906,3312861.406,118.7150221,197.8460958,172.8178232,450.6022116,47.94955165,10845
84,g-dB8TWaygCvBY5O2M8_Xg,2018,3,1.333495593,103.64862,2.333422332,1.3334999,103.6485904,1,2.99E-05,30092,3099140.989,102.9888671,180.1422436,174.0402252,376.039125,24.43396777,18214
85,g0pZU_sEfMLnW52xrHeLDA,2017,12,1.28059981,103.8423978,5.779529347,1.2805758,103.8424072,19,2.58E-05,72042,8908951.061,123.6632945,196.7290419,192.7744796,277.552246,33.00153158,35506
86,g1CAhImcd2sNCMoxCOh-Yw,2021,10,1.28209343,103.8477706,0.53574046,1.2820844,103.8477506,13,2.20E-05,80822,10978703.28,135.838055,206.7637075,209.4015282,287.329629,34.52680174,72135.5
87,g2ateHSFsYu1oFgP98nObg,2016,8,1.289825794,103.7824924,2.409117893,1.2898173,103.782498,19,1.02E-05,9527,1224295.829,128.5080119,231.0965707,237.0590644,848.031363,27.07880216,8490.5
88,g1GBag_VUN_4vJqh32GysQ,2018,11,1.282163881,103.8452354,3.692204671,1.2821525,103.8452413,30,1.28E-05,65936,8372388.095,126.9774948,208.9474141,210.2046622,300.2365361,38.19910261,51668.5
89,g2oytu2rYzEv0OGUHZDHFg,2019,11,1.276865255,103.8435442,3.292630106,1.2768781,103.8435258,43,2.25E-05,59398,7676521.907,129.238727,188.4046706,185.569394,324.3619164,28.79882603,129493.5
90,g4LsV3GSQcdEapUsGS6L9A,2013,1,1.321571857,103.7963675,0.931868628,1.3215504,103.7963551,0,2.48E-05,14498,1564226.858,107.8925961,180.469088,166.1475248,574.9880458,30.72083391,8965
91,g4_47RPgqLWU6quleUldjw,2021,10,1.301942274,103.860966,0.950909697,1.3019548,103.8609509,4,1.96E-05,76823,9620315.761,125.2270253,195.4110597,195.6731969,270.6412156,30.2169974,75979.5
92,g6zJ0I5chsGVMVpkgzGKFw,2022,8,1.322035483,103.7975494,4.345111902,1.3220554,103.7975306,12,2.74E-05,15398,2024634.045,131.4868194,228.0216332,237.6825614,678.5545607,32.68068489,12967.5
93,g9ZK65kVoDQ3gmFLgoP9-g,2019,6,1.322900629,103.7950942,2.268653189,1.3229073,103.7950877,1,9.30E-06,15775,1851191.812,117.3497187,188.8861847,189.2749323,598.6740017,28.71596266,9429.5
94,gDsqAwYyuQ62XeN9x3naVg,2015,4,1.330424587,103.7951101,0.350921042,1.3304393,103.7951293,14,2.42E-05,32894,4031860.797,122.5713138,183.4554518,170.8830009,426.0358596,32.19826373,14822.5
95,gAqpqfNuo2JY-hwdDvaARA,2018,2,1.308173022,103.7711979,4.88629553,1.3082032,103.7711952,19,3.03E-05,22680,2776595.813,122.4248595,211.5709759,212.3793767,518.0004868,49.42851353,10082.5
96,gEdqpI5osOv6IE2ioYQkUg,2021,10,1.303099163,103.8592422,3.693503228,1.3031184,103.8592383,44,1.96E-05,62419,8471356.451,135.7175932,192.787166,186.4322933,331.5820085,32.41182992,27312
97,gBg4X7e1dMoMjSf2dz8mnQ,2011,9,1.336554952,103.6453965,2.331812984,1.3365484,103.6453782,9,1.94E-05,16511,2271708.731,137.587592,234.2517078,245.2835094,685.2614027,36.1829743,12940.5
98,gEquweV6Xzg14-eGDqCkPQ,2019,10,1.331339325,103.6461473,2.326878679,1.3313552,103.6461713,1,2.87E-05,25727,2559834.625,99.49992712,178.5974475,173.7613306,394.21806,23.46828973,10913
99,gIHq-S8xiWPWK6LMaT-0Wg,2016,8,1.287651403,103.7840678,3.367906751,1.2876542,103.7840447,0,2.33E-05,5317,574681.896,108.0838623,184.7006225,191.4418972,959.110709,25.32371157,3357
100,gJJa1FhWg5deM7A6VthLYw,2019,6,1.320203492,103.8082595,0.730250356,1.3202055,103.8082592,2,2.03E-06,31094,3476023.197,111.790802,216.9646234,230.0054347,401.650059,44.45775974,15667.5
101,gMNbP47kvsNnrprUK3zruw,2020,10,1.304026275,103.8605031,4.163730392,1.3040153,103.8604963,10,1.29E-05,59528,6453409.044,108.4096399,199.8181452,201.4274063,273.0010784,33.6288155,35179
102,gQ2c4Z8CdMnRcMuzmfxMXA,2015,9,1.331986933,103.6501591,5.389912075,1.3320059,103.6501544,11,1.95E-05,6759,659121.7,97.51763574,195.2594709,204.6289325,766.5996724,31.96381943,4814.5
103,gN_nXA5sXWKzzCZgz5VaLw,2021,10,1.286305243,103.8449701,0.693829497,1.286331,103.8449176,12,5.85E-05,44665,5500161.723,123.1425439,187.258684,181.4304274,364.8247943,28.05619647,20400
104,gQj2IqX_4bm_hetYL_29dQ,2015,4,1.322254542,103.7958747,2.243614681,1.322234,103.7958792,8,2.10E-05,16628,1884752.949,113.3481446,197.2061853,207.3137713,562.6490413,40.0785442,8432
105,gVNqShF935IUTv97dz79yg,2019,6,1.292757097,103.7681211,0.679794838,1.2927849,103.7681115,9,2.94E-05,18449,2276614.099,123.4004065,174.1725669,161.2761607,580.4876781,28.23218363,12740
106,gQfmDc5aW79Yc5Ryti7tgA,2020,10,1.278067449,103.843716,3.494562432,1.2780716,103.8437328,19,1.73E-05,73282,9677196.953,132.0542146,190.5891008,187.0026738,295.4783854,29.84712586,136552
107,gVPrwCyAxaFKVcbfE7VEtw,2017,11,1.294004914,103.8524113,3.835481406,1.2940065,103.8524069,13,4.70E-06,49533,5636462.399,113.7920659,188.7434268,182.3869513,316.5462253,30.14096854,36389
108,gXYyP9SaAQqrkiLRH0o_1A,2016,9,1.299198886,103.7746804,5.024973785,1.2992277,103.7746876,18,2.97E-05,18834,2287264.846,121.4433921,207.1449415,224.085921,565.1375135,46.18084592,10055.5
109,gYp_kamJkxmPLgksdVm38w,2019,7,1.279820199,103.8470069,5.104602834,1.2798048,103.8469974,10,1.81E-05,38045,3942980.087,103.6399024,180.2291396,174.3846324,334.4865057,26.09013119,20543
110,gaHdDAk3wMFkuvKqG2qEow,2018,1,1.282283048,103.7875485,0.848649837,1.2822904,103.7875629,4,1.62E-05,7761,762310.478,98.22322871,167.9976177,160.8601877,719.7663355,18.69773348,3172
111,gZK5Hk_w1lS6p28PIIRp0A,2021,6,1.280837414,103.7849862,2.30881286,1.2808537,103.7849987,0,2.05E-05,18579,2008173.256,108.0883393,165.0120186,162.963186,507.1688016,13.86642773,11588
112,gcjIhNwN0qGRckQofgtQTQ,2018,1,1.28125186,103.7870069,3.503826504,1.2812559,103.7869929,4,1.46E-05,21021,2223126.195,105.7573947,172.0397452,160.8508626,465.3400374,24.96647979,7397.5
113,gbfTWYnkRS5EU_FTsDTQNg,2020,9,1.28903479,103.7838857,4.369368772,1.2890496,103.7838987,4,1.97E-05,8465,921120.318,108.8151587,191.0919553,200.2423532,763.6916272,35.4941426,4379.5
114,ganl9qh5z4e2h8W0alduZg,2022,8,1.318543008,103.807444,0.679787181,1.3185623,103.8074388,29,2.00E-05,33019,3180787.372,96.33203222,193.524753,183.3821147,334.2246256,36.00699546,7374.5
115,geOsDG7VIF5c88JUscNyug,2016,8,1.28141673,103.7870615,3.48223173,1.281411,103.7870478,24,1.48E-05,29163,3490058.254,119.6741849,203.1468429,185.9462288,443.2535182,45.4835272,12279
116,gfE0ZNOYxhDsrNxRXdzVrQ,2013,1,1.320031178,103.8081076,0.708109633,1.3200452,103.8081084,4,1.40E-05,40962,4372265.464,106.7395504,214.1599988,222.3960431,330.1475359,42.27589775,14769.5
117,gdWzpJDrxLB0wPwd6QIEwQ,2018,4,1.28011024,103.8439747,0.215349181,1.2801057,103.8439809,20,7.71E-06,46689,4632176.292,99.21343983,186.9444685,185.1728922,285.2009921,27.23465012,27738.5
118,gfbAXyGX3bTtUrrpph4MEg,2018,2,1.284665645,103.8487143,2.083911968,1.2846409,103.8487148,18,2.47E-05,64595,8718603.424,134.9733482,197.9191426,195.8162404,324.1739886,34.74622452,28837
119,gi7_L9jNfNmh1-9tkMrCmQ,2011,9,1.333681521,103.6484059,2.271611961,1.3336802,103.6483884,25,1.76E-05,23087,2171511.835,94.05777429,201.9668678,188.063819,394.8523827,41.56898534,9615.5
120,gjAxiaZ7NmBt2Ur_1ON3WQ,2020,7,1.347969935,103.6969937,0.10445879,1.3479523,103.6970186,9,3.05E-05,31966,3602864.151,112.7092583,181.3372786,175.2055935,397.5541012,26.76471973,17204
121,gkAd8CjLGDUzte6fE8lRrg,2019,6,1.290170495,103.7745476,1.985245578,1.2902044,103.7745396,30,3.48E-05,13351,1236062.764,92.5820361,175.4959414,164.6238136,514.3925195,33.02068273,1990
122,gi7Tm3wU6GcBcA5t1go1YA,2018,2,1.322562512,103.8018836,1.676969902,1.3225556,103.8018971,7,1.52E-05,10963,1396447.265,127.3782053,212.2338603,220.9456947,782.4467512,32.47869094,8169
123,gutOKSvEa0cSt2UdrFDYow,2019,7,1.303884836,103.860251,4.147295492,1.3038819,103.8602533,6,3.75E-06,70540,7624466.922,108.0871409,188.3352007,183.408015,245.2116717,28.63877105,141684.5
124,gl-6cWjlJO6mwNkf7iDEaA,2011,9,1.322316152,103.6487514,3.870859903,1.3223088,103.6487402,5,1.34E-05,25660,2879950.83,112.2350284,193.5214743,179.6941847,445.4255666,37.73094518,11574
